效率试验记录,,,,,,,,,,,,,,,,,
试验名称,,12JSD200T,,,,主试变速器编号,,5.130712877,,,,参数设置日期,,12/30/1899 00:00,,,
试验编号,,CS2015-xxx,,,,陪试变速器编号,,5.140703829,,,,试验设备名称,,北4 800Nm变速器疲劳寿命试验台,,,
试验轮数,,1,,,,参数设置人员,,GM,,,,,,,,,
主变速箱档位,主变速箱速比,陪变速箱档位,陪变速箱速比,"要求转速
r/min","要求扭矩
Nm","要求温度
℃","输入转速
r/min","输出转速
r/min","输入扭矩
Nm","输出扭矩
Nm",主试箱温度℃,陪试箱温度℃,"输入功率
kW","输出功率
KW","效率
%",试验日期,试验时间
,,,,,,,,,,,,,,,,,
4,7.33,4,7.77,1450,2000,80,1449.9,197.9,1999.5,14135.1,79.8,57.8,303.6,281.5,96.51,2015/11/20,2:53:48 PM
4,7.33,4,7.77,1450,2000,80,1450.1,197.8,2000.1,14142.1,79.9,57.9,303.6,281.5,96.48,2015/11/20,2:53:58 PM
4,7.33,4,7.77,1450,2000,80,1450.2,197.8,2000,14153.6,79.8,57.9,303.6,281.5,96.46,2015/11/20,2:54:08 PM
4,7.33,4,7.77,1450,2000,80,1449.9,197.9,1999.7,14133.6,79.8,57.9,303.7,281.5,96.49,2015/11/20,2:54:18 PM
4,7.33,4,7.77,1450,2000,80,1449.9,197.9,1999.8,14143.8,79.8,57.9,303.6,281.5,96.5,2015/11/20,2:54:28 PM
4,7.33,4,7.77,1450,2000,80,1450.1,197.5,2000.2,14136.8,79.8,58,303.7,281.6,96.3,2015/11/20,2:54:38 PM
4,7.33,4,7.77,1450,2000,80,1450.1,197.5,2000,14155.8,79.7,57.9,303.7,281.4,96.3,2015/11/20,2:54:48 PM
4,7.33,4,7.77,1450,2000,80,1449.9,197.5,1999.7,14135.3,79.6,58,303.7,281.5,96.29,2015/11/20,2:54:58 PM
4,7.33,4,7.77,1450,2000,80,1449.9,197.6,2000.3,14151.9,79.8,58,303.6,281.6,96.36,2015/11/20,2:55:08 PM
4,7.33,4,7.77,1450,2000,80,1449.9,197.6,1999.9,14127.1,79.9,58.1,303.7,281.6,96.34,2015/11/20,2:55:18 PM
4,7.33,4,7.77,1450,2000,80,1449.9,197.9,2000.2,14161.3,79.9,58.1,303.6,281.6,96.32,2015/11/20,2:55:28 PM
4,7.33,4,7.77,1450,2000,80,1450.1,197.6,2000.1,14134.4,79.7,58.1,303.7,281.5,96.35,2015/11/20,2:55:38 PM
4,7.33,4,7.77,1450,2000,80,1449.9,197.9,1999.8,14152.5,79.7,58.1,303.7,281.6,96.31,2015/11/20,2:55:48 PM
4,7.33,4,7.77,1450,2000,80,1449.9,197.8,2000.1,14142.6,79.9,58.2,303.6,281.5,96.47,2015/11/20,2:55:58 PM
4,7.33,4,7.77,1450,2000,80,1450.2,197.8,2000.7,14152.2,80,58.2,303.8,281.5,96.43,2015/11/20,2:56:08 PM
4,7.33,4,7.77,1450,2000,80,1450.1,197.9,2000.4,14127.4,79.8,58.1,303.8,281.5,96.44,2015/11/20,2:56:18 PM
4,7.33,4,7.77,1450,2000,80,1450.1,197.9,2000.2,14147.2,79.6,58.2,303.6,281.6,96.47,2015/11/20,2:56:28 PM
4,7.33,4,7.77,1450,2000,80,1449.9,197.9,1999.4,14136.3,79.7,58.2,303.6,281.5,96.51,2015/11/20,2:56:38 PM
4,7.33,4,7.77,1450,2000,80,1449.9,197.9,2000.1,14144.9,80,58.2,303.7,281.6,96.5,2015/11/20,2:56:48 PM
4,7.33,4,7.77,1450,2000,80,1450.1,197.8,1999.7,14125.9,80,58.2,303.6,281.6,96.45,2015/11/20,2:56:58 PM
4,7.33,4,7.77,1450,2000,80,1450.2,197.8,2000.5,14149.1,79.7,58.2,303.7,281.5,96.44,2015/11/20,2:57:08 PM
4,7.33,4,7.77,1450,2000,80,1449.9,197.9,2000,14121.7,79.5,58.3,303.7,281.6,96.51,2015/11/20,2:57:18 PM
4,7.33,4,7.77,1450,2000,80,1449.9,198.1,2000.5,14158.8,79.8,58.2,303.7,281.6,96.57,2015/11/20,2:57:28 PM
4,7.33,4,7.77,1450,2000,80,1450.1,198.1,1999.8,14132.1,80.1,58.2,303.7,281.6,96.59,2015/11/20,2:57:38 PM
4,7.33,4,7.77,1450,2000,80,1450.2,198.1,2000.4,14145.4,80,58.3,303.7,281.6,96.61,2015/11/20,2:57:48 PM
4,7.33,4,7.77,1450,2000,80,1449.9,198.2,1999.9,14127.2,79.8,58.4,303.7,281.5,96.63,2015/11/20,2:57:58 PM
4,7.33,4,7.77,1450,2000,80,1450.1,198.1,1999.6,14140,79.8,58.3,303.7,281.6,96.55,2015/11/20,2:58:08 PM
4,7.33,4,7.77,1450,2000,80,1450.1,198.1,2000.1,14140.3,80,58.3,303.7,281.6,96.58,2015/11/20,2:58:18 PM
4,7.33,4,7.77,1450,2000,80,1449.7,198.1,2000.3,14154.8,80.1,58.2,303.5,281.5,96.59,2015/11/20,2:58:28 PM
4,7.33,4,7.77,1450,2000,80,1449.9,198.1,2000.1,14135.7,79.8,58.3,303.7,281.6,96.57,2015/11/20,2:58:38 PM
5,5.73,6,5.36,1450,2000,80,1450.1,253.4,2000,11037.4,80.6,58.4,303.7,282.3,96.37,2015/11/20,3:23:18 PM
5,5.73,6,5.36,1450,2000,80,1450.1,253.1,2000.1,11048.2,80.4,58.3,303.7,282.2,96.42,2015/11/20,3:23:28 PM
5,5.73,6,5.36,1450,2000,80,1449.9,253,1999.7,11051.4,80.4,58.1,303.6,282.3,96.37,2015/11/20,3:23:38 PM
5,5.73,6,5.36,1450,2000,80,1449.9,253.3,1999.7,11049.7,80.3,58.1,303.7,282.2,96.49,2015/11/20,3:23:48 PM
5,5.73,6,5.36,1450,2000,80,1450.1,253.5,1999.8,11047.3,80.3,58.1,303.7,282.3,96.56,2015/11/20,3:23:58 PM
5,5.73,6,5.36,1450,2000,80,1449.9,253.3,2000.1,11044.1,80.3,58.1,303.7,282.2,96.47,2015/11/20,3:24:08 PM
5,5.73,6,5.36,1450,2000,80,1450.1,253,1999.9,11050.6,80.1,58.1,303.7,282.2,96.37,2015/11/20,3:24:18 PM
5,5.73,6,5.36,1450,2000,80,1450.1,253.3,1999.9,11048.1,80.1,58,303.7,282.2,96.45,2015/11/20,3:24:28 PM
5,5.73,6,5.36,1450,2000,80,1450.1,253.4,2000.2,11046.2,80,57.9,303.7,282.3,96.51,2015/11/20,3:24:38 PM
5,5.73,6,5.36,1450,2000,80,1449.9,253.3,2000.2,11041.1,79.9,57.9,303.7,282.2,96.47,2015/11/20,3:24:48 PM
5,5.73,6,5.36,1450,2000,80,1449.9,253.3,2000.1,11041.4,79.9,57.9,303.7,282.2,96.38,2015/11/20,3:24:58 PM
5,5.73,6,5.36,1450,2000,80,1449.9,253.1,2000.5,11054.9,79.9,57.8,303.6,282.2,96.5,2015/11/20,3:25:08 PM
5,5.73,6,5.36,1450,2000,80,1449.9,253,2000.3,11041.2,79.8,57.8,303.6,282.2,96.36,2015/11/20,3:25:18 PM
5,5.73,6,5.36,1450,2000,80,1449.9,253.3,2000.1,11045.9,79.8,57.8,303.6,282.2,96.47,2015/11/20,3:25:28 PM
5,5.73,6,5.36,1450,2000,80,1449.9,253.3,1999.9,11046.2,79.9,57.8,303.6,282.3,96.51,2015/11/20,3:25:38 PM
5,5.73,6,5.36,1450,2000,80,1450.1,253.1,2000.1,11048.2,79.8,57.9,303.7,282.3,96.41,2015/11/20,3:25:48 PM
5,5.73,6,5.36,1450,2000,80,1450.1,253,2000,11046.6,79.9,57.8,303.7,282.2,96.35,2015/11/20,3:25:58 PM
5,5.73,6,5.36,1450,2000,80,1450.1,253.3,2000.2,11045.7,79.8,57.8,303.6,282.1,96.46,2015/11/20,3:26:08 PM
5,5.73,6,5.36,1450,2000,80,1449.9,253.4,1999.8,11048.8,79.8,57.8,303.6,282.3,96.53,2015/11/20,3:26:18 PM
5,5.73,6,5.36,1450,2000,80,1450.1,253.6,2000.1,11058.2,79.8,57.9,303.6,282.2,96.43,2015/11/20,3:26:28 PM
5,5.73,6,5.36,1450,2000,80,1449.7,253.4,1999.7,11047.8,79.8,57.9,303.6,282.3,96.37,2015/11/20,3:26:38 PM
5,5.73,6,5.36,1450,2000,80,1450.1,253.2,2000.1,11053.3,79.8,57.9,303.7,282.2,96.43,2015/11/20,3:26:48 PM
5,5.73,6,5.36,1450,2000,80,1449.9,253,1999.8,11043.5,79.8,58,303.6,282.2,96.39,2015/11/20,3:26:58 PM
5,5.73,6,5.36,1450,2000,80,1449.7,253.6,1999.5,11038.9,79.7,58,303.6,282.2,96.58,2015/11/20,3:27:08 PM
5,5.73,6,5.36,1450,2000,80,1450.1,253.3,2000.1,11055.4,79.8,58,303.7,282.2,96.49,2015/11/20,3:27:18 PM
5,5.73,6,5.36,1450,2000,80,1450.1,253.2,2000,11040.5,79.8,58.1,303.7,282.2,96.43,2015/11/20,3:27:28 PM
5,5.73,6,5.36,1450,2000,80,1449.9,253,2000.1,11042.9,79.8,58.1,303.7,282.2,96.36,2015/11/20,3:27:38 PM
5,5.73,6,5.36,1450,2000,80,1450.1,253.4,2000.1,11046.3,79.8,58,303.7,282.3,96.53,2015/11/20,3:27:48 PM
5,5.73,6,5.36,1450,2000,80,1450.1,253.3,1999.9,11035.4,79.8,58.1,303.7,282.3,96.5,2015/11/20,3:27:58 PM
5,5.73,6,5.36,1450,2000,80,1450.1,253.1,2000.2,11043.8,79.8,58.1,303.7,282.2,96.42,2015/11/20,3:28:08 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.9,2000,3223.7,80,58.4,303.7,291.8,98.14,2015/11/20,4:18:08 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.5,2000,3223.1,80.1,58.3,303.7,291.8,98.1,2015/11/20,4:18:18 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.4,2000.1,3224.3,80.1,58.3,303.7,291.8,98.08,2015/11/20,4:18:28 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.9,2000.1,3223.6,80.1,58.4,303.7,291.8,98.15,2015/11/20,4:18:38 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.8,2000,3226.1,80.2,58.4,303.7,291.8,98.13,2015/11/20,4:18:48 PM
10,1.64,13,1.45,1450,2000,80,1449.7,882.6,2000.1,3225.8,80.3,58.3,303.6,291.8,98.12,2015/11/20,4:18:58 PM
10,1.64,13,1.45,1450,2000,80,1449.9,882.8,2000.1,3223.6,80.3,58.4,303.6,291.8,98.12,2015/11/20,4:19:08 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.4,1999.9,3221.7,80.4,58.3,303.7,291.8,98.13,2015/11/20,4:19:18 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.6,1999.6,3220.8,80.4,58.4,303.7,291.8,98.11,2015/11/20,4:19:28 PM
10,1.64,13,1.45,1450,2000,80,1450.1,883,2000,3223.1,80.4,58.3,303.7,291.8,98.14,2015/11/20,4:19:38 PM
10,1.64,13,1.45,1450,2000,80,1449.9,882.7,2000.1,3224,80.5,58.3,303.7,291.8,98.13,2015/11/20,4:19:48 PM
10,1.64,13,1.45,1450,2000,80,1449.9,882.4,2000.1,3226.3,80.5,58.3,303.7,291.8,98.1,2015/11/20,4:19:58 PM
10,1.64,13,1.45,1450,2000,80,1449.9,882.5,2000.1,3226.3,80.5,58.3,303.6,291.8,98.12,2015/11/20,4:20:08 PM
10,1.64,13,1.45,1450,2000,80,1450.1,883,2000.2,3225.5,80.6,58.3,303.7,291.8,98.14,2015/11/20,4:20:18 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.7,2000,3223.7,80.6,58.3,303.7,291.9,98.12,2015/11/20,4:20:28 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.4,1999.9,3221.8,80.6,58.3,303.7,291.8,98.09,2015/11/20,4:20:38 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.7,1999.5,3221.2,80.7,58.3,303.7,291.8,98.14,2015/11/20,4:20:48 PM
10,1.64,13,1.45,1450,2000,80,1449.9,882.5,1999.9,3224.2,80.7,58.3,303.6,291.8,98.12,2015/11/20,4:20:58 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.7,1999.9,3225.7,80.8,58.3,303.7,291.8,98.15,2015/11/20,4:21:08 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.8,2000.1,3227,80.8,58.3,303.7,291.9,98.12,2015/11/20,4:21:18 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.6,2000,3226.9,80.8,58.2,303.6,291.9,98.14,2015/11/20,4:21:28 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.5,2000.1,3226,80.9,58.3,303.7,291.9,98.13,2015/11/20,4:21:38 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.8,2000.1,3224.8,80.9,58.3,303.6,291.9,98.17,2015/11/20,4:21:48 PM
10,1.64,13,1.45,1450,2000,80,1450.2,882.8,1999.9,3223.3,80.9,58.3,303.7,291.9,98.15,2015/11/20,4:21:58 PM
10,1.64,13,1.45,1450,2000,80,1449.9,882.6,1999.9,3223.7,80.9,58.2,303.6,291.9,98.14,2015/11/20,4:22:08 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.7,1999.9,3223.3,81,58.2,303.6,291.9,98.15,2015/11/20,4:22:18 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.5,2000.1,3226.3,81,58.2,303.6,291.9,98.18,2015/11/20,4:22:28 PM
10,1.64,13,1.45,1450,2000,80,1449.9,882.5,2000.1,3228.2,81,58.2,303.7,291.9,98.14,2015/11/20,4:22:38 PM
10,1.64,13,1.45,1450,2000,80,1450.1,882.9,2000.2,3227.3,81,58.3,303.7,291.9,98.18,2015/11/20,4:22:48 PM
10,1.64,13,1.45,1450,2000,80,1449.9,882.8,2000.1,3226.1,81,58.2,303.6,291.9,98.16,2015/11/20,4:30:48 PM
